publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
US10689972B1,2020/1/26,2020/6/23,CN,CN,5,E21B47/06 | G06F17/18 | E21B43/267 | E21B49/00,5,15,2,32,0,2,43,30,30,2,43,1,2,授权,授权发明
US11136871B2,2021/1/14,2021/10/5,CN,CN,8,E21B43/26 | E21B43/14 | E21B47/06,20,20,3,0,2,2,9,0,0,2,9,1,2,授权,授权发明
US20210238973A1,2021/1/14,2021/8/5,CN,CN,8,E21B43/26 | E21B43/14,18,19,0,9,0,2,9,9,9,2,9,1,2,授权,发明申请
US20130206411A1,2012/4/30,2013/8/15,WO,WO,12,B65B1/04 | B65D25/04 | E21B43/11 | E21B43/38 | E21B7/00 | E21B7/04,18,44,22,11,1,3,21,4,4,3,21,1,3,授权,发明申请
US20240009648A1,2023/6/30,2024/1/11,US,US,3,B01J19/08 | C01B21/06 | C07C253/24 | C07C209/02 | C07C2/76 | C01C1/04,20,28,0,0,0,2,0,0,0,1,0,1,1,公开 | 许可,发明申请
US20160340278A1,2014/11/14,2016/11/24,US,US,2,C07C29/00 | E21B43/26 | C10L1/04 | C07C41/09 | C07C1/24 | E21B43/16 | E21B43/34,15,5,0,2,0,5,10,0,0,5,10,1,5,授权,发明申请
AU2020101583A4,2020/7/31,2020/9/10,-,AU,4,G01N33/24 | G01V9/02 | E21B49/00 | G06Q50/02,10,18,0,0,0,1,0,0,0,1,0,1,1,权利终止,实用新型
CA2818464C,2013/6/17,2021/6/8,US | US,US | US,3,G01V9/00,18,55,0,0,0,4,79,0,0,3,8,1,1,授权,授权发明
US20240044237A1,2021/11/24,2024/2/8,CN,CN,9,E21B43/27 | E21B49/00,11,9,0,0,0,3,4,0,0,3,4,1,3,实质审查,发明申请
US20210239001A1,2021/4/23,2021/8/5,CN,CN,7,E21B49/08 | B01D19/00 | G01N33/24 | E21B43/34,3,5,12,0,0,2,0,0,0,2,0,1,2,授权,发明申请
US11608741B2,2021/4/23,2023/3/21,CN,CN,7,E21B49/08 | B01D19/00 | E21B43/34 | G01N33/24,3,5,12,0,0,2,0,0,0,2,0,1,2,授权,授权发明
CA2818464A1,2013/6/17,2013/12/20,US | US,US | US,3,G01V9/00,20,53,0,8,0,4,79,5,6,3,8,1,1,授权,发明申请
GB202209350D0,2022/6/27,2022/8/10,CN,CN,-,-,7,37,0,2,0,2,6,2,2,2,6,3,2,授权,发明申请
GB2606473A,2022/6/27,2022/11/9,CN,CN,7,E21B43/26,7,37,2,0,0,2,6,0,0,2,6,3,2,授权,发明申请
GB2606473B,2022/6/27,2023/5/10,CN,CN,10,E21B43/26,7,38,2,0,0,2,6,0,0,2,6,3,2,授权,授权发明
US20200284699A1,2018/9/12,2020/9/10,KR,KR,3,G01N1/22 | G01N1/24 | G01N33/22,9,14,0,7,0,4,10,7,7,4,10,1,4,授权,发明申请
US11360004B2,2018/9/12,2022/6/14,KR,KR,3,G01N1/22 | G01N1/24 | G01N33/22,9,15,24,0,5,4,10,0,0,4,10,1,4,授权,授权发明
GB202217776D0,2022/11/28,2023/1/11,CN,CN,-,-,10,33,0,1,0,2,2,1,1,2,2,5,2,实质审查,发明申请
GB2614955A,2022/11/28,2023/7/26,CN,CN,11,G01V99/00 | E21B43/26,10,33,2,0,0,2,2,0,0,2,2,5,2,实质审查,发明申请
WO2019193537A1,2019/4/4,2019/10/10,US,US,2,C07C2/76 | C07C7/11 | C07C15/04 | C07C15/06 | C07C15/08 | C10G1/00,20,21,4,0,1,2,0,0,0,2,0,1,2,PCT进入指定国（指定期满）,发明申请
ZA202201639A,2022/2/8,2022/2/23,-,ZA,2,E21B,10,26,0,0,0,1,0,0,0,1,0,2,1,授权,发明申请
AU2020103953A4,2020/12/8,2021/2/11,-,AU,5,E21B49/00 | E21B49/08 | G01V1/28 | G06Q50/06 | E21B43/14 | G01V11/00,5,50,0,2,0,1,2,2,2,1,2,1,1,权利终止,实用新型
AU2020101884A4,2020/8/19,2020/10/1,-,AU,4,E21B43/00 | E21B49/00 | G06Q50/02,10,24,0,3,0,1,3,3,3,1,3,1,1,授权,实用新型
US20240053502A1,2023/10/26,2024/2/15,CN,CN,5,G01V1/50 | E21B49/00,3,16,0,0,0,2,0,0,0,2,0,1,2,公开,发明申请
US20170138163A1,2015/4/3,2017/5/18,KR | KR,KR | KR,3,E21B43/263 | C09K8/80 | C09K8/62 | E21B43/00 | E21B47/06,16,13,1,3,0,6,17,0,2,6,16,1,4,授权,发明申请
US9890628B2,2015/4/3,2018/2/13,KR | KR,KR | KR,3,E21B7/00 | E21B47/06 | C09K8/80 | C09K8/62 | E21B43/267 | E21B43/263 | E21B43/26 | E21B43/00,14,13,7,4,1,6,17,1,3,6,16,1,4,授权,授权发明
US20200240973A1,2020/1/23,2020/7/30,CN | CN,CN | CN,4,G01N33/24 | G01N7/16 | E21B49/02 | E21B45/00,12,7,0,6,0,3,12,6,6,3,12,2,3,授权,发明申请
US11435336B2,2020/1/23,2022/9/6,CN | CN,CN | CN,4,G01N33/24 | E21B45/00 | E21B49/02 | G01N7/16,11,8,2,0,2,3,12,0,0,3,12,2,3,授权,授权发明
US10267125B2,2015/5/22,2019/4/23,AU,AU,1,E21B43/02 | E21B43/14 | E21B33/10 | E21B43/08 | E21B43/12 | E21B47/10 | E21B49/08 | E21B43/26 | E21B43/10 | E21B43/38,16,32,11,1,4,16,10,0,0,16,10,1,16,授权,授权发明
CA3011167A1,2017/4/19,2018/5/11,KR,KR,2,G01N23/207 | E21B49/08 | G01N33/24,10,28,0,0,0,3,14,0,0,3,14,1,3,授权,发明申请
CA3011167C,2017/4/19,2021/3/9,KR,KR,2,G01N23/207 | E21B49/08 | G01N33/24,10,27,0,0,0,3,14,0,0,3,14,1,3,授权,授权发明
CA2930135A1,2014/11/14,2015/5/28,US,US,2,E21B43/26 | C01B3/34 | C07C29/151 | C07C29/154 | C09K8/594 | C10L1/02 | E21B43/16 | E21B43/34 | E21B43/00,14,13,0,3,0,5,10,3,3,5,10,1,5,授权,发明申请
WO2015077153A1,2014/11/14,2015/5/28,US,US,2,E21B43/00 | E21B43/16 | E21B43/34,14,13,6,0,0,5,10,0,0,5,10,2,5,PCT进入指定国（指定期满）,发明申请
CA2930135C,2014/11/14,2021/11/23,US,US,2,C07C29/151 | C01B3/34 | C07C29/154 | C09K8/594 | C10G2/00 | C10L1/02 | E21B43/16 | E21B43/26 | E21B43/34,14,13,0,0,0,5,10,0,0,5,10,1,5,授权,授权发明
US20210003005A1,2018/9/21,2021/1/7,-,US,8,E21B49/02 | G01V99/00 | G01N3/08,4,7,0,10,0,3,14,10,10,3,13,1,2,授权,发明申请
US11371344B2,2018/9/21,2022/6/28,-,US,8,E21B49/02 | E21B43/26 | G01V99/00 | G01N3/08,4,8,11,0,3,3,14,0,0,3,13,1,2,授权,授权发明
US20170122086A1,2015/6/11,2017/5/4,US,US,1,E21B43/16,25,23,0,7,0,3,25,6,7,3,25,1,3,授权 | 许可,发明申请
US9347301B2,2014/7/20,2016/5/24,CN,CN,9,E21B43/247 | E21B43/16 | E21B43/26,9,24,1,4,0,3,18,3,3,3,18,1,3,未缴年费,授权发明
US20130262069A1,2012/3/29,2013/10/3,-,US,1,G06F19/00 | G06G7/48,23,37,10,85,8,1,85,32,60,1,85,1,1,撤回-视为撤回,发明申请
US20170122080A1,2015/5/22,2017/5/4,AU,AU,1,E21B43/08 | E21B49/08 | E21B43/26 | E21B43/10,63,31,5,6,0,16,10,4,5,16,10,1,16,授权,发明申请
CA3075923A1,2018/9/12,2019/3/21,KR,KR,3,G01N1/22 | G01N1/24 | G01N33/22,9,32,0,0,0,4,10,0,0,4,10,1,4,授权,发明申请
CA3075923C,2018/9/12,2022/3/15,KR,KR,3,G01N1/22 | G01N1/24 | G01N33/22,9,31,0,0,0,4,10,0,0,4,10,1,4,授权,授权发明
NZ727424A,2015/5/22,2023/2/24,AU,AU,1,E21B43/08 | E21B43/10 | E21B33/12 | E21B43/16 | E21B43/25 | E21B43/38,43,52,0,0,0,16,10,0,0,16,10,1,16,授权,发明申请
NZ727424B,2015/5/22,2023/5/25,AU,AU,1,E21B43/08 | E21B43/10 | E21B33/12 | E21B43/16 | E21B43/25 | E21B43/38,43,53,0,0,0,16,10,0,0,16,10,1,16,授权,授权发明
US20210116172A1,2020/10/16,2021/4/22,US,US,2,F25J1/00,20,43,0,0,0,2,0,0,0,1,0,1,1,授权 | 许可,发明申请
US11402153B2,2020/10/16,2022/8/2,US,US,2,C10L3/00 | F25J1/00 | C10L3/10,20,42,1,0,0,2,0,0,0,1,0,1,1,授权 | 许可,授权发明
US20140326450A1,2014/7/20,2014/11/6,CN,CN,9,E21B43/16,14,25,1,2,0,3,18,0,1,3,18,1,3,未缴年费,发明申请
